JP Title,Eng Title,★,FT Prelude,FT FS,FT CT,FT DLC1,FT DLC2,FT DLC3,FT DX,FT MM,FT MM2,MegaMix,MM Theme,MM DLC1,MM DLC2,MM DLC3,MM DLC4,MM DLC5,MM DLC6,MM Sega,MM DLC7,MM DLC8,MM DLC9,MM DLC10,MM DLC11
ジェミニ,Gemini,7.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ZIGG-ZAGG,ZIGG-ZAGG,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
システマティック・ラヴ,Systematic Love,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×
Just Be Friends,Just Be Friends,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ジュゲムシーケンサー,Jugemu Sequencer,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
白い雪のプリンセスは,The Snow White Princess is...,7.5,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
深海シティアンダーグラウンド,Deep Sea City Underground,7,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×
深海少女,Deep Sea Girl,7,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
SING&SMILE,SING&SMILE,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×
SYMPHONIC DIVE - DIVA FT edit -,SYMPHONIC DIVE - DIVA FT edit -,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
スイートマジック,Sweet Magic,8,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Sweet Devil,Sweet Devil,9,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
スキキライ,Love-Hate,7.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
StargazeR,StargazeR,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×
Star Story,Star Story,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×
Starduster,Starduster,6.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×
Starlite★Lydian,Starlite★Lydian,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
Stay with me,Stay with me,7.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓
ステップフォワド,Step Forward,9,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
ストロボナイツ,Strobe Nights,7.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×
砂の惑星 feat.初音ミク,Suna no Wakusei feat. Hatsune Miku,9,×,×,×,×,×,×,✓,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
スノーマン,Snowman,8.5,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
SPiCa -39's Giving Day Edition-,SPiCa -39's Giving Day Edition-,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
slump,slump,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
積乱雲グラフィティ,Sekiranun Graffiti,7,×,✓,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×
千年の独奏歌 (DIVA edit),Thousand Year Solo (DIVA Edit),7,×,✓,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×
千本桜,Senbonzakura,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
千本桜 -F edition-,Senbonzakura -F edition-,9.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
そいやっさぁ！！,Soiyassa!!,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
So much loving you★ -DIVA Edit-,So Much Loving You★ -DIVA Edit-,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
その一秒スローモーション,That One Second in Slow Motion,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
DYE,DYE,8.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
